N° de factura,ID Cliente
548370,15528
575767,17348
C570727,12471
549106,17045
573112,16416
576630,13816
538125,18225
544354,13489
546369,15513
570651,14911
C543628,16558
539736,
537823,
575581,12659
580987,17389
543754,18159
542418,
C553508,14000
563233,17988
545417,15622
C577693,12628
550759,
C547309,17416
556427,
C555404,17231
576571,12950
550623,13719
576083,17404
562417,
570733,17190
537026,12395
552837,12901
C579925,15544
550535,14211
555213,13094
549923,13138
575198,12921
C549986,18178
569005,16268
566307,14307
539049,15615
549684,
580068,17321
542745,15881
575525,13983
C562884,14056
C560842,14527
542936,
565682,14796
C562514,13408
562220,15150
562002,14567
C561210,17841
C545502,15078
538010,17526
579089,17920
560713,16774
571098,17841
574994,17870
570257,13767
541669,17315
C560687,14606
C569891,13924
552404,15932
566035,12839
576911,17461
572272,13171
577783,18139
578757,12748
C553557,13266
542351,14560
558245,
C578090,12483
559164,16422
578150,16020
558770,12748
C569552,14533
C550646,16873
C571329,17706
C544557,17422
C539277,15777
C577731,17811
580386,18065
C553866,14620
570252,14665
536782,17567
C544594,15079
571082,
551984,15841
C554931,17841
564476,12610
540353,13764
558706,16839
566278,13614
540477,13233
569695,16843
C556920,13047
C543469,12709
538308,14107
549054,17719
555626,16103
C572343,14607
C558530,15039
563921,16407
563943,13139
575854,14125
552764,17489
571407,13750
548208,14189
556922,12748
572076,13761
544189,15867
562543,13552
573136,12709
558261,16945
581482,17490
579740,
559538,16880
548862,17956
565569,14111
556047,12901
548189,16607
557213,15021
549142,
571310,13394
542254,14733
576674,
C553841,16029
548546,16600
558563,14561
543385,
546034,14032
557602,14110
544596,16441
553006,15544
542634,15448
540536,17757
536568,16048
545686,18211
553861,13591
C551015,12753
567370,14236
560034,13933
547419,15061
C565681,15521
565081,
565680,14560
561244,13865
C576831,12748
542155,15777
572023,17764
577749,16242
C537383,16550
550901,13389
555546,17735
561900,16655
547963,13037
575968,14882
571745,14911
539986,
543115,14606
552947,16943
550002,12709
551320,
569539,18102
569863,
545812,14214
569740,15769
564648,15641
573751,
551859,14336
538070,16519
576848,15051
546442,15159
560422,16746
541967,
C546894,14334
559948,12653
539688,12678
548916,14849
576767,
565851,14911
538909,13491
553475,18102
536523,12868
547571,16265
557871,13458
C565290,16092
553017,12757
549471,17389
573924,15065
C554011,13151
576641,17549
574746,16523
546019,14507
556809,17179
567768,15950
574661,13447
C575940,17838
549838,16705
547519,16308
C554140,13004
C558736,18075
577080,17001
560048,13515
C566963,17573
568709,15036
539651,
578171,17685
576400,13632
557640,
543013,
542083,18008
579759,15251
552215,
537628,16293
542096,17236
549149,
C541284,17744
576909,12471
560105,16794
541709,17504
578272,17463
555363,14453
566033,16031
571545,
562155,17940
C575142,17183
561047,16948
C544442,15465
568527,13178
563382,18221
C560220,14572
C548647,12888
549196,14911
577599,15738
569567,16059
576347,13268
544569,16980
542865,12929
562789,14646
567798,13089
C539838,13458
565577,14177
550915,13263
541293,15311
578688,16719
560896,15623
561711,13414
C575385,15916
C571023,15239
575701,13396
547886,13652
562467,13513
563927,14013
C565229,17450
581471,14702
573230,13199
568656,14911
554502,14289
581017,14910
C540118,
540116,
546428,12681
571090,15271
540856,16655
568242,14931
557599,
550713,15159
542100,15339
549833,13458
571918,17350
566983,
537432,
537759,13126
554128,
555940,14191
C574318,16729
560834,16523
554366,17450
566520,17757
537471,14344
562034,12449
C562709,17511
572516,
561108,
568332,13434
556823,
C574010,17841
537456,17450
569693,17837
573131,15622
540099,15808
546220,16745
C578039,17338
560252,13468
569653,12451
553545,
575475,17702
575703,13767
556279,14562
578951,15514
578947,14547
570129,12885
566607,13032
580887,13755
C561682,13631
552523,15797
541263,16843
542796,17356
566776,14911
544170,16148
539469,17841
549670,16168
573902,17428
544826,14513
541086,16503
543824,14631
552464,12726
C567359,15201
551515,15606
540160,15769
565631,14680
580281,12704
559157,13999
566257,13324
568724,
554286,17686
546741,13261
546029,15206
543278,16745
540630,17849
559817,
547563,15651
554105,14711
539442,16558
563952,15572
545162,16187
564966,17677
578354,17139
C555729,13552
550986,
572926,15659
570292,13418
550972,14031
541850,14224
573124,13654
C565597,12709
571080,13719
565420,16326
554633,14287
543464,16779
C540852,15197
553655,16775
553559,14931
551391,15514
559491,
544391,15755
C538692,13599
C542402,16124
542505,
575039,15005
544098,16019
C566472,16187
548997,
C562577,15518
C557879,14911
579495,13576
565852,
569550,15955
556827,15134
541278,14135
553192,15333
549502,
548739,15493
562949,14346
542806,12836
573757,17166
542925,14457
545158,15874
549826,15044
573830,16960
548196,16011
575331,13209
566491,14060
556514,
572670,13685
554356,12670
570868,
549264,
566062,14522
545598,
542965,
551293,14298
C543743,12505
C546191,16422
C577131,15861
574747,15618
555846,14180
540455,12583
573293,
562721,15985
545021,17663
555367,17900
569907,12569
559819,12682
C570331,14606
C565284,12471
575579,13081
567918,
578665,16570
547796,14646
554967,
C538531,13715
543032,12990
562166,13209
C561684,13136
556235,12778
571741,15610
C546217,14057
537354,12748
560576,17287
581253,16891
576368,
572913,15993
547324,13014
551900,
572534,
579489,16775
565480,18273
565369,
551558,17841
C558202,17841
536614,17850
559525,16923
C543643,16161
536920,
560714,14456
548746,12471
566248,13272
C577364,14140
565475,14156
565424,15215
540350,18283
553612,17556
540274,14618
550996,16681
581580,12748
C554519,13549
573987,
574149,13709
544408,16726
540273,17368
578993,15987
581395,16892
543279,17105
C546204,13599
577813,14297
545103,15039
552245,12748
C546416,14800
542905,12540
574705,14553
564951,
565141,17841
576185,
C562796,13694
560246,14292
554026,13324
C549968,14064
568135,
574952,13924
564095,14930
577298,14299
557886,17799
536884,14589
572676,16258
557126,18168
557118,14849
562885,14024
576906,18225
C578274,17828
552248,12748
556314,
560997,12627
551567,
569702,14396
580372,16359
543121,12662
565240,17949
539338,17404
C577390,18276
571439,17206
566667,14660
538879,15392
546520,14911
C576397,13081
559981,14562
543194,
565426,12851
578999,17595
543049,
577158,16293
C550172,17440
569249,14092
536370,12583
580561,
572477,
564040,14560
549983,16348
567628,14060
558389,14383
567917,14298
579121,17299
C549533,12408
565324,13232
567208,
575048,
548148,17931
580658,17090
580308,14250
563177,17293
571622,14798
578029,16985
543907,17346
553205,15813
577393,14031
C560589,15249
552972,16043
554997,16746
560600,
576326,16504
568150,16689
557670,12798
562460,17841
C579739,16956
576388,17510
C569320,15301
542541,
555836,13098
543273,16456
581399,17528
544905,17117
565389,
C573253,17552
C577369,14132
576650,14286
549274,12721
C557505,17490
575710,17901
562788,17669
555286,14298
547528,
554667,15727
548991,16915
554709,15769
570333,18126
556214,14913
569850,16432
557351,16670
571692,13860
563613,12688
564821,14078
565123,17949
574480,15010
556516,
569684,13947
561878,17388
579000,13991
573586,14704
556271,17483
C564900,12948
556495,18069
562042,13075
C546854,17511
543043,17848
542535,12735
552676,
555323,
545327,13166
541001,16500
575203,13018
547079,15408
554557,15804
543586,15809
557846,17365
541511,17576
575483,16996
558113,14911
537030,16455
C566779,13931
562158,15039
578281,14099
581190,
C576235,17769
571566,13594
572833,12748
580490,15773
C580919,16571
C575056,17736
573917,18135
573482,
561655,18102
547511,17411
C558256,13552
540844,12971
546544,16570
540647,17406
563955,16652
C537597,15498
577748,15159
569480,13408
555472,16701
C572556,17317
538661,15194
C539565,14113
577747,17450
575391,14354
536808,17659
542396,
575493,18210
556264,16107
539995,
559401,15039
574035,14606
573407,18067
573752,
542353,16700
547196,12637
545300,15092
545896,15869
561652,
C579928,14121
568411,
C538375,17126
557315,15535
569319,14290
552491,17033
566395,14952
556915,15036
565870,16828
551860,15508
569263,18102
547872,16777
577060,14397
542277,14440
543117,12464
537246,12808
579442,15152
C576858,17183
548728,13198
565202,14482
C578377,14277
562015,17615
546388,
549329,
552867,15513
564480,17656
540383,16422
550052,17068
536381,15311
557964,15498
549164,
C538726,13078
570482,17459
545463,13784
569491,14056
567381,17450
569212,15164
549906,14998
569897,17813
542694,12908
551817,17974
569241,14488
545414,12980
C540380,16094
553039,16422
572229,14329
536500,17377
568551,14883
553151,13089
578155,12748
541008,17848
C571750,12744
574951,15763
C541688,12683
563707,16626
541678,17771
542881,14587
580879,17346
579962,14243
561037,12472
547664,13069
C571543,17677
544922,15847
541756,12664
578531,17364
537896,18071
549949,13208
577812,16956
538106,17950
557297,12421
C537820,16016
550360,14978
547843,18273
551660,15271
C548469,14543
562418,16572
580820,13685
554678,
568990,15933
577024,14704
C559498,15078
C566758,14292
564739,16931
551057,16942
571032,13827
C554361,17811
543919,13157
571506,15355
570860,
570679,17769
578211,12748
558875,13301
548796,15752
572756,15482
561109,15218
